,Company Name,Departure Time,Deboarding Time,Trip Hour,Layover,Price
0,Air India,07:00,09:15,2h 15m, ,"22,116"
1,Air India,08:00,10:20,2h 20m, ,"22,116"
2,Air India,09:00,11:20,2h 20m, ,"22,116"
3,Air India,10:00,12:15,2h 15m, ,"22,116"
4,Air India,13:00,15:15,2h 15m, ,"22,116"
5,Air India,15:35,18:00,2h 25m, ,"22,116"
6,Air India,16:00,18:20,2h 20m, ,"22,116"
7,Air India,18:00,20:20,2h 20m, ,"22,116"
8,Air India,19:00,21:15,2h 15m, ,"22,116"
9,Air India,21:00,23:10,2h 10m, ,"22,116"
10,Air India,07:40,11:10,3h 30m,Layover - Indore 0h 35m,"22,116"
11,Vistara,05:55,07:55,2h 00m, ,"37,292"
12,Vistara,06:30,08:25,1h 55m, ,"37,292"
13,Vistara,21:55,00:10,2h 15m, ,"37,292"
14,Vistara,16:30,08:15,15h 45m,Layover - Ahmedabad 12h 45m,"37,437"
15,Vistara,22:50,17:10,18h 20m,Layover - Ahmedabad 15h 40m,"37,437"
16,Vistara,09:15,17:10,7h 55m,Layover - Ahmedabad 5h 00m,"37,438"
17,Vistara,22:50,08:15,9h 25m,Layover - Ahmedabad 6h 50m,"37,438"
18,Vistara,06:35,17:10,10h 35m,Layover - Ahmedabad 7h 50m,"37,438"
19,Vistara,07:30,09:40,2h 10m, ,"38,132"
20,Vistara,19:10,21:15,2h 05m, ,"38,132"
21,Vistara,22:50,01:00,2h 10m, ,"38,132"
22,Vistara,16:30,21:45,5h 15m,Layover - Ahmedabad 2h 25m,"38,278"
23,Air India,18:35,09:25,14h 50m,Layover - Ahmedabad 11h 50m,"38,370"
24,Air India,06:00,12:30,6h 30m,Layover - Hyderabad 2h 35m,"41,077"
25,Air India,20:15,08:35,12h 20m,Layover - Hyderabad 8h 30m,"41,077"
26,Air India,10:40,18:10,7h 30m,Layover - Pune 4h 20m,"42,410"
27,Air India,11:20,15:55,4h 35m,Layover - Lucknow 1h 30m,"43,216"
28,Air India,18:35,23:45,5h 10m,Layover - Ahmedabad 2h 05m,"44,099"
29,Air India,10:30,18:00,7h 30m,Layover - Bhopal 4h 50m,"44,226"
30,Air India,09:15,16:10,6h 55m,Layover - Jodhpur 3h 55m,"45,472"
31,Vistara,15:45,18:10,2h 25m, ,"49,276"
32,Vistara,20:40,23:00,2h 20m, ,"49,276"
33,Vistara,06:35,10:30,3h 55m,Layover - Ahmedabad 0h 55m,"49,422"
34,Air India,05:15,12:50,7h 35m,Layover - Chennai 2h 35m,"50,933"
35,Vistara,10:20,14:40,4h 20m,Layover - Udaipur 1h 10m,"51,731"
36,Vistara,12:20,16:45,4h 25m,Layover - Udaipur 1h 35m,"51,731"
37,Vistara,08:45,10:55,2h 10m, ,"57,116"
38,Vistara,10:25,12:40,2h 15m, ,"57,116"
39,Vistara,11:55,13:55,2h 00m, ,"57,116"
40,Vistara,12:35,14:55,2h 20m, ,"57,116"
41,Vistara,14:40,16:55,2h 15m, ,"57,116"
42,Vistara,17:25,19:45,2h 20m, ,"57,116"
43,Vistara,18:30,20:40,2h 10m, ,"57,116"
44,Vistara,19:45,21:55,2h 10m, ,"57,116"
45,Vistara,10:45,15:40,4h 55m,Layover - Hyderabad 1h 00m,"64,564"
